x,y,sentiment
131,400,0.0
131,400,0.0
564,400,0.4753
498,297,0.5093
115,359,-0.5562
654,318,0.0
387,433,0.0
537,295,0.9201
455,372,0.3134
455,372,0.3134
537,417,0.0
648,320,0.0762
510,423,0.0
103,213,-0.0258
627,377,-0.128
654,318,-0.5574
514,329,-0.0772
391,430,-0.6124
387,433,0.0
558,493,-0.1027
668,306,0.0
668,306,0.0
301,334,0.0
106,207,0.0
523,463,-0.3722
654,318,0.0
387,433,0.0
580,332,0.0
580,332,0.0
387,433,0.0
652,321,0.0
150,412,-0.6705
544,378,-0.5719
640,329,0.0
589,321,0.3875
589,321,0.3875
547,295,0.34
570,285,0.2732
152,416,-0.6808
695,304,0.0
618,341,-0.1531
392,430,0.3612
544,378,-0.7902
106,207,0.4939
387,433,0.0
548,440,-0.3182
688,284,0.0
131,400,0.6808
131,400,0.6808
638,311,-0.4588
638,311,-0.4588
494,285,-0.6435
219,423,0.0
148,414,0.4648
393,433,0.6249
223,421,-0.4404
505,387,-0.5994
283,521,0.0
283,521,0.0
544,378,0.3612
505,387,-0.3182
408,466,0.2023
654,318,0.0
652,321,0.5697
583,505,0.4939
639,330,0.0
614,343,0.3612
544,378,0.4389
106,207,-0.3818
652,321,0.4329
569,488,0.6414
537,417,0.0
107,363,0.4071
589,321,0.5106
589,321,0.5106
176,261,0.0
496,303,-0.2168
584,511,0.0
570,485,-0.8625
106,207,0.3818
204,371,0.7184
548,440,0.1655
505,387,-0.4215
436,253,0.1007
634,351,0.3384
131,400,0.3553
131,400,0.3553
654,318,0.3612
505,387,0.0
529,436,0.2732
387,433,0.0
417,345,0.3182
640,330,0.0
106,207,0.3818
99,242,-0.296
387,433,0.0
654,318,-0.5994
537,417,0.4588
555,397,0.631
219,423,0.0
640,330,0.0305
161,425,0.8271
586,386,0.0
106,207,0.3818
406,474,-0.886
119,348,0.0
637,346,0.0
580,332,-0.2732
580,332,-0.2732
654,318,0.4019
617,342,0.0
590,276,-0.4939
640,330,-0.8748
132,377,-0.6105
523,463,-0.128
131,400,0.0
131,400,0.0
153,419,0.0
523,463,-0.9153
105,365,0.0
590,276,0.0
605,400,-0.1441
490,466,0.6908
563,494,0.0258
617,342,0.0
523,463,0.0
617,342,0.0
629,283,0.3071
642,246,0.0
574,400,0.0
466,350,-0.128
659,318,0.0
629,283,0.0
391,430,-0.4215
161,427,0.0
448,466,0.0
654,318,0.3818
103,362,0.6588
558,493,-0.7717
617,342,0.0
382,466,0.0
689,300,0.4019
652,321,0.368
494,361,0.7506
494,361,0.7506
580,332,-0.4466
580,332,-0.4466
523,463,0.5719
589,321,-0.6486
589,321,-0.6486
184,384,0.6408
561,496,0.0
146,418,-0.3919
218,422,0.0
580,332,0.347
580,332,0.347
99,244,0.296
581,519,0.0
435,255,-0.4184
148,413,0.0
654,320,0.6249
459,463,-0.8516
283,521,-0.7489
283,521,-0.7489
435,255,0.4767
146,418,-0.4767
654,320,0.0
