class,id,x,y,value
17,1,131,400,0
17,2,131,400,0
7,3,564,400,0.4753
55,4,498,297,0.5093
67,5,115,359,-0.5562
0,6,654,318,0
28,7,387,433,0
8,8,537,295,0.9201
35,9,455,372,0.3134
35,10,455,372,0.3134
41,11,537,417,0
0,12,648,320,0.0762
56,13,510,423,0
48,14,103,213,-0.0258
9,15,627,377,-0.128
21,16,654,318,-0.5574
19,17,514,329,-0.0772
72,18,391,430,-0.6124
28,19,387,433,0
12,20,558,493,-0.1027
0,21,668,306,0
0,22,668,306,0
62,23,301,334,0
48,24,106,207,0
29,25,523,463,-0.3722
0,26,654,318,0
28,27,387,433,0
4,28,580,332,0
4,29,580,332,0
28,30,387,433,0
0,31,652,321,0
40,32,150,412,-0.6705
7,33,544,378,-0.5719
0,34,640,329,0
4,35,589,321,0.3875
4,36,589,321,0.3875
80,37,547,295,0.34
51,38,570,285,0.2732
40,39,152,416,-0.6808
71,40,695,304,0
36,41,618,341,-0.1531
28,42,392,430,0.3612
7,43,544,378,-0.7902
48,44,106,207,0.4939
28,45,387,433,0
56,46,548,440,-0.3182
10,47,688,284,0
17,48,131,400,0.6808
17,49,131,400,0.6808
0,50,638,311,-0.4588
0,51,638,311,-0.4588
55,52,494,285,-0.6435
6,53,219,423,0
17,54,148,414,0.4648
28,55,393,433,0.6249
31,56,223,421,-0.4404
81,57,505,387,-0.5994
16,58,283,521,0
16,59,283,521,0
3,60,544,378,0.3612
61,61,505,387,-0.3182
27,62,408,466,0.2023
0,63,654,318,0
0,64,652,321,0.5697
12,65,583,505,0.4939
0,66,639,330,0
4,67,614,343,0.3612
3,68,544,378,0.4389
48,69,106,207,-0.3818
0,70,652,321,0.4329
12,71,569,488,0.6414
41,72,537,417,0
25,73,107,363,0.4071
4,74,589,321,0.5106
4,75,589,321,0.5106
69,76,176,261,0
55,77,496,303,-0.2168
12,78,584,511,0
111,79,570,485,-0.8625
48,80,106,207,0.3818
53,81,204,371,0.7184
29,82,548,440,0.1655
81,83,505,387,-0.4215
95,84,436,253,0.1007
9,85,634,351,0.3384
17,86,131,400,0.3553
17,87,131,400,0.3553
0,88,654,318,0.3612
61,89,505,387,0
29,90,529,436,0.2732
28,91,387,433,0
24,92,417,345,0.3182
0,93,640,330,0
48,94,106,207,0.3818
78,95,99,242,-0.296
28,96,387,433,0
21,97,654,318,-0.5994
7,98,537,417,0.4588
3,99,555,397,0.631
6,100,219,423,0
0,101,640,330,0.0305
17,102,161,425,0.8271
22,103,586,386,0
48,104,106,207,0.3818
46,105,406,474,-0.886
25,106,119,348,0
21,107,637,346,0
4,108,580,332,-0.2732
4,109,580,332,-0.2732
0,110,654,318,0.4019
9,111,617,342,0
63,112,590,276,-0.4939
21,113,640,330,-0.8748
67,114,132,377,-0.6105
29,115,523,463,-0.128
17,116,131,400,0
17,117,131,400,0
17,118,153,419,0
29,119,523,463,-0.9153
25,120,105,365,0
63,121,590,276,0
73,122,605,400,-0.1441
29,123,490,466,0.6908
12,124,563,494,0.0258
9,125,617,342,0
23,126,523,463,0
9,127,617,342,0
10,128,629,283,0.3071
52,129,642,246,0
86,130,574,400,0
38,131,466,350,-0.128
0,132,659,318,0
10,133,629,283,0
72,134,391,430,-0.4215
17,135,161,427,0
50,136,448,466,0
0,137,654,318,0.3818
25,138,103,362,0.6588
111,139,558,493,-0.7717
9,140,617,342,0
11,141,382,466,0
10,142,689,300,0.4019
0,143,652,321,0.368
19,144,494,361,0.7506
19,145,494,361,0.7506
4,146,580,332,-0.4466
4,147,580,332,-0.4466
23,148,523,463,0.5719
4,149,589,321,-0.6486
4,150,589,321,-0.6486
40,151,184,384,0.6408
12,152,561,496,0
17,153,146,418,-0.3919
6,154,218,422,0
4,155,580,332,0.347
4,156,580,332,0.347
64,157,99,244,0.296
12,158,581,519,0
119,159,435,255,-0.4184
17,160,148,413,0
0,161,654,320,0.6249
157,162,459,463,-0.8516
110,163,283,521,-0.7489
110,164,283,521,-0.7489
95,165,435,255,0.4767
40,166,146,418,-0.4767
0,167,654,320,0
3,168,556,369,0.3612
5,169,520,356,0.4767
0,170,668,306,0
0,171,668,306,0
121,172,506,386,-0.7735
29,173,548,440,0
48,174,107,206,-0.1695
10,175,686,295,0
62,176,301,334,0
21,177,658,317,-0.529
139,178,605,400,-0.5106
17,179,146,418,0.7003
48,180,106,209,0.128
9,181,620,344,0
81,182,506,386,-0.4902
64,183,106,209,-0.872
23,184,523,463,0.296
5,185,520,356,-0.3612
22,186,605,400,0.7096
48,187,106,207,0.8074
0,188,638,326,0
23,189,523,463,0.296
47,190,573,479,0
43,191,406,474,-0.2206
23,192,523,463,0
136,193,283,446,-0.296
7,194,537,417,0.6774
96,195,407,386,-0.765
141,196,655,244,-0.2003
21,197,651,318,-0.6174
0,198,654,318,0.4926
144,199,629,283,-0.5423
57,200,259,341,0.8213
25,201,113,351,0
23,202,523,463,0
36,203,616,345,-0.4898
7,204,539,371,-0.5696
16,205,283,521,-0.1189
16,206,283,521,-0.1189
17,207,146,418,0.2732
71,208,688,284,-0.6369
6,209,219,423,0
57,210,259,341,0
83,211,116,348,-0.5709
9,212,617,345,0
23,213,523,463,0.296
55,214,500,305,-0.6096
122,215,99,186,-0.7783
65,216,80,434,0
65,217,80,434,0
12,218,564,513,0.765
10,219,683,284,0
27,220,406,471,0.4019
16,221,283,521,0
16,222,283,521,0
0,223,654,320,0
11,224,379,479,0
0,225,654,320,0
55,226,492,298,-0.8617
29,227,548,440,0
4,228,580,332,0.2023
4,229,580,332,0.2023
27,230,413,474,0
128,231,95,267,-0.5859
45,232,407,386,0.2373
55,233,496,303,-0.6914
4,234,580,332,0.4466
4,235,580,332,0.4466
41,236,547,420,-0.2714
29,237,490,466,0
0,238,650,323,0
12,239,581,504,-0.5972
5,240,520,356,-0.3818
9,241,624,348,0.4767
55,242,496,303,0.4588
71,243,688,284,-0.8353
81,244,469,350,-0.4019
71,245,689,290,-0.4404
65,246,80,434,0.0314
65,247,80,434,0.0314
157,248,459,463,-0.7271
86,249,574,400,0
81,250,469,350,-0.6428
19,251,494,361,0
19,252,494,361,0
17,253,159,413,0
50,254,454,465,0
55,255,496,303,0.5859
80,256,544,304,0
69,257,176,261,0.5782
19,258,494,361,0
19,259,494,361,0
38,260,469,350,0
46,261,406,472,-0.7339
25,262,103,362,0
41,263,546,415,-0.3612
55,264,496,303,0
159,265,78,298,0
22,266,586,386,0
10,267,688,284,0.3164
48,268,99,186,-0.25
55,269,496,303,-0.1531
12,270,583,511,0
10,271,688,284,0.3164
119,272,447,224,0
55,273,496,303,0
0,274,654,320,0.4404
0,275,654,318,0
23,276,523,463,0.296
0,277,678,293,0.7513
23,278,523,463,0.396
8,279,547,289,0.5562
17,280,159,413,0
12,281,584,509,0.2732
0,282,654,318,-0.296
20,283,283,446,0.7177
21,284,654,318,-0.636
82,285,420,427,-0.9281
0,286,653,317,0
30,287,582,523,-0.3412
22,288,600,390,0
22,289,600,390,0
12,290,582,523,0
42,291,590,276,0.5255
69,292,176,261,0.0258
22,293,600,390,0
23,294,523,463,0.296
10,295,692,289,0.1779
4,296,609,351,0.6542
55,297,496,306,0
55,298,496,306,0
41,299,547,420,0
86,300,574,400,0
69,301,176,261,0.0258
7,302,556,369,-0.5499
38,303,466,350,0
87,304,440,290,0.4753
5,305,533,342,0
40,306,134,375,0.1531
4,307,580,332,0.3818
4,308,580,332,0.3818
9,309,634,351,0
119,310,436,253,-0.7073
17,311,146,418,0
150,312,190,450,-0.7695
23,313,523,463,0.296
17,314,154,416,0.5859
128,315,78,298,0.3382
17,316,149,413,0.3818
31,317,190,450,0.7695
62,318,304,335,0
9,319,616,344,-0.25
14,320,390,275,0.25
4,321,570,313,0.4168
0,322,653,317,0.2057
85,323,581,504,-0.7845
62,324,303,347,-0.3595
56,325,534,419,-0.8689
159,326,78,298,0
42,327,599,285,-0.2023
0,328,652,321,0.6239
0,329,678,293,0.6696
0,330,659,318,-0.4854
236,331,534,227,-0.089
21,332,653,317,-0.8126
3,333,556,369,0.5719
26,334,455,372,0.6249
26,335,455,372,0.6249
71,336,688,284,-0.521
156,337,691,276,-0.8553
4,338,568,306,0
0,339,663,294,0.3182
110,340,283,521,-0.5859
110,341,283,521,-0.5859
7,342,556,369,-0.4215
63,343,590,276,-0.3182
42,344,593,270,0.0258
95,345,434,251,-0.0258
28,346,393,433,0.4404
17,347,146,418,0.0772
25,348,132,338,0
10,349,692,289,0
28,350,393,433,0
12,351,571,486,0
126,352,195,408,-0.4767
80,353,565,307,-0.5023
80,354,565,307,-0.5023
62,355,303,347,0
83,356,118,345,-0.4019
0,357,653,317,-0.1877
0,358,653,317,0.3612
55,359,496,303,-0.4824
55,360,496,303,-0.3182
28,361,420,427,0.5093
17,362,152,412,0
2,363,222,318,0.6696
5,364,531,352,0
5,365,531,352,0
65,366,80,434,0
65,367,80,434,0
29,368,548,440,0.4019
12,369,563,494,0
21,370,655,317,-0.5216
0,371,652,316,-0.4508
9,372,614,343,0
36,373,624,340,-0.4015
4,374,589,321,-0.128
4,375,589,321,-0.128
69,376,176,261,0.6808
