class,id,x,y,value
67,1,131,400,0
67,2,131,400,0
45,3,564,400,0.4753
18,4,498,297,0.5093
66,5,115,359,-0.5562
14,6,654,318,0
51,7,387,433,0
1,8,537,295,0.9201
20,9,455,372,0.3134
20,10,455,372,0.3134
11,11,537,417,0
14,12,648,320,0.0762
131,13,510,423,0
2,14,103,213,-0.0258
105,15,627,377,-0.128
80,16,654,318,-0.5574
42,17,514,329,-0.0772
86,18,391,430,-0.6124
51,19,387,433,0
9,20,558,493,-0.1027
53,21,668,306,0
53,22,668,306,0
52,23,301,334,0
2,24,106,207,0
73,25,523,463,-0.3722
14,26,654,318,0
51,27,387,433,0
41,28,580,332,0
41,29,580,332,0
51,30,387,433,0
14,31,652,321,0
6,32,150,412,-0.6705
140,33,544,378,-0.5719
16,34,640,329,0
12,35,589,321,0.3875
12,36,589,321,0.3875
1,37,547,295,0.34
8,38,570,285,0.2732
6,39,152,416,-0.6808
5,40,695,304,0
30,41,618,341,-0.1531
51,42,392,430,0.3612
140,43,544,378,-0.7902
2,44,106,207,0.4939
51,45,387,433,0
7,46,548,440,-0.3182
5,47,688,284,0
67,48,131,400,0.6808
67,49,131,400,0.6808
154,50,638,311,-0.4588
154,51,638,311,-0.4588
47,52,494,285,-0.6435
48,53,219,423,0
3,54,148,414,0.4648
51,55,393,433,0.6249
109,56,223,421,-0.4404
113,57,505,387,-0.5994
55,58,283,521,0
55,59,283,521,0
33,60,544,378,0.3612
27,61,505,387,-0.3182
36,62,408,466,0.2023
14,63,654,318,0
14,64,652,321,0.5697
4,65,583,505,0.4939
16,66,639,330,0
30,67,614,343,0.3612
33,68,544,378,0.4389
2,69,106,207,-0.3818
14,70,652,321,0.4329
4,71,569,488,0.6414
11,72,537,417,0
0,73,107,363,0.4071
12,74,589,321,0.5106
12,75,589,321,0.5106
306,76,176,261,0
44,77,496,303,-0.2168
4,78,584,511,0
172,79,570,485,-0.8625
2,80,106,207,0.3818
17,81,204,371,0.7184
7,82,548,440,0.1655
113,83,505,387,-0.4215
123,84,436,253,0.1007
16,85,634,351,0.3384
67,86,131,400,0.3553
67,87,131,400,0.3553
14,88,654,318,0.3612
27,89,505,387,0
118,90,529,436,0.2732
51,91,387,433,0
78,92,417,345,0.3182
16,93,640,330,0
2,94,106,207,0.3818
50,95,99,242,-0.296
51,96,387,433,0
80,97,654,318,-0.5994
11,98,537,417,0.4588
75,99,555,397,0.631
48,100,219,423,0
16,101,640,330,0.0305
6,102,161,425,0.8271
170,103,586,386,0
2,104,106,207,0.3818
171,105,406,474,-0.886
21,106,119,348,0
16,107,637,346,0
41,108,580,332,-0.2732
41,109,580,332,-0.2732
14,110,654,318,0.4019
30,111,617,342,0
89,112,590,276,-0.4939
16,113,640,330,-0.8748
183,114,132,377,-0.6105
73,115,523,463,-0.128
67,116,131,400,0
67,117,131,400,0
6,118,153,419,0
73,119,523,463,-0.9153
24,120,105,365,0
38,121,590,276,0
29,122,605,400,-0.1441
22,123,490,466,0.6908
4,124,563,494,0.0258
30,125,617,342,0
19,126,523,463,0
30,127,617,342,0
93,128,629,283,0.3071
70,129,642,246,0
95,130,574,400,0
207,131,466,350,-0.128
14,132,659,318,0
159,133,629,283,0
86,134,391,430,-0.4215
6,135,161,427,0
57,136,448,466,0
14,137,654,318,0.3818
0,138,103,362,0.6588
84,139,558,493,-0.7717
30,140,617,342,0
76,141,382,466,0
5,142,689,300,0.4019
14,143,652,321,0.368
28,144,494,361,0.7506
28,145,494,361,0.7506
41,146,580,332,-0.4466
41,147,580,332,-0.4466
19,148,523,463,0.5719
41,149,589,321,-0.6486
41,150,589,321,-0.6486
13,151,184,384,0.6408
4,152,561,496,0
6,153,146,418,-0.3919
48,154,218,422,0
41,155,580,332,0.347
41,156,580,332,0.347
50,157,99,244,0.296
23,158,581,519,0
264,159,435,255,-0.4184
6,160,148,413,0
14,161,654,320,0.6249
257,162,459,463,-0.8516
150,163,283,521,-0.7489
150,164,283,521,-0.7489
123,165,435,255,0.4767
6,166,146,418,-0.4767
14,167,654,320,0
33,168,556,369,0.3612
69,169,520,356,0.4767
53,170,668,306,0
53,171,668,306,0
113,172,506,386,-0.7735
7,173,548,440,0
2,174,107,206,-0.1695
5,175,686,295,0
52,176,301,334,0
53,177,658,317,-0.529
29,178,605,400,-0.5106
3,179,146,418,0.7003
2,180,106,209,0.128
30,181,620,344,0
113,182,506,386,-0.4902
2,183,106,209,-0.872
19,184,523,463,0.296
69,185,520,356,-0.3612
