class,id,x,y,value
4,1,131.0,400.0,0.0
4,2,131.0,400.0,0.0
0,3,564.0,400.0,0.4753
0,4,498.0,297.0,0.5093
10,5,115.0,359.0,-0.5562
2,6,654.0,318.0,0.0
4,7,387.0,433.0,0.0
0,8,537.0,295.0,0.9201
0,9,455.0,372.0,0.3134
0,10,455.0,372.0,0.3134
4,11,537.0,417.0,0.0
2,12,648.0,320.0,0.0762
4,13,510.0,423.0,0.0
7,14,103.0,213.0,-0.0258
5,15,627.0,377.0,-0.128
9,16,654.0,318.0,-0.5574
4,17,514.0,329.0,-0.0772
4,18,391.0,430.0,-0.6124
4,19,387.0,433.0,0.0
4,20,558.0,493.0,-0.1027
5,21,668.0,306.0,0.0
5,22,668.0,306.0,0.0
4,23,301.0,334.0,0.0
7,24,106.0,207.0,0.0
4,25,523.0,463.0,-0.3722
2,26,654.0,318.0,0.0
4,27,387.0,433.0,0.0
4,28,580.0,332.0,0.0
4,29,580.0,332.0,0.0
4,30,387.0,433.0,0.0
2,31,652.0,321.0,0.0
10,32,150.0,412.0,-0.6705
5,33,544.0,378.0,-0.5719
5,34,640.0,329.0,0.0
2,35,589.0,321.0,0.3875
2,36,589.0,321.0,0.3875
2,37,547.0,295.0,0.34
2,38,570.0,285.0,0.2732
10,39,152.0,416.0,-0.6808
5,40,695.0,304.0,0.0
5,41,618.0,341.0,-0.1531
0,42,392.0,430.0,0.3612
36,43,544.0,378.0,-0.7902
4,44,106.0,207.0,0.4939
4,45,387.0,433.0,0.0
4,46,548.0,440.0,-0.3182
5,47,688.0,284.0,0.0
1,48,131.0,400.0,0.6808
1,49,131.0,400.0,0.6808
6,50,638.0,311.0,-0.4588
6,51,638.0,311.0,-0.4588
5,52,494.0,285.0,-0.6435
4,53,219.0,423.0,0.0
1,54,148.0,414.0,0.4648
0,55,393.0,433.0,0.6249
10,56,223.0,421.0,-0.4404
8,57,505.0,387.0,-0.5994
4,58,283.0,521.0,0.0
4,59,283.0,521.0,0.0
2,60,544.0,378.0,0.3612
4,61,505.0,387.0,-0.3182
0,62,408.0,466.0,0.2023
2,63,654.0,318.0,0.0
2,64,652.0,321.0,0.5697
4,65,583.0,505.0,0.4939
5,66,639.0,330.0,0.0
2,67,614.0,343.0,0.3612
0,68,544.0,378.0,0.4389
7,69,106.0,207.0,-0.3818
2,70,652.0,321.0,0.4329
0,71,569.0,488.0,0.6414
4,72,537.0,417.0,0.0
1,73,107.0,363.0,0.4071
2,74,589.0,321.0,0.5106
2,75,589.0,321.0,0.5106
7,76,176.0,261.0,0.0
4,77,496.0,303.0,-0.2168
4,78,584.0,511.0,0.0
93,79,570.0,485.0,-0.8625
4,80,106.0,207.0,0.3818
0,81,204.0,371.0,0.7184
4,82,548.0,440.0,0.1655
4,83,505.0,387.0,-0.4215
4,84,436.0,253.0,0.1007
2,85,634.0,351.0,0.3384
1,86,131.0,400.0,0.3553
1,87,131.0,400.0,0.3553
2,88,654.0,318.0,0.3612
4,89,505.0,387.0,0.0
4,90,529.0,436.0,0.2732
4,91,387.0,433.0,0.0
0,92,417.0,345.0,0.3182
5,93,640.0,330.0,0.0
4,94,106.0,207.0,0.3818
7,95,99.0,242.0,-0.296
4,96,387.0,433.0,0.0
9,97,654.0,318.0,-0.5994
0,98,537.0,417.0,0.4588
0,99,555.0,397.0,0.631
4,100,219.0,423.0,0.0
